resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon,
"Eagle Point, UT",Utah,10500,9100,1400,6,40,625,0.2,125,0.35,218.75,0.45,281.25,41.25,-111.8,237
"Park City Mt, UT",Utah,10000,6800,3200,41,344,7300,0.09,657,0.51,3723,0.4,2920,41.2,-111.82,346
"Snowbasin MT, UT",Utah,9350,6400,2950,10,113,3000,0.2,600,0.5,1500,0.3,900,41,-111.8197403,338
"Snowbird, UT",Utah,11000,7600,3400,12,89,2500,0.27,675,0.38,950,0.35,875,40.58,-111.65,352
"Wolf Mt, UT",Utah,6400,5400,1000,4,22,110,0.35,38.5,0.45,49.5,0.2,22,40.48,-111.02,192
"Bolton Valley, VT",Vermont,3150,2100,1704,6,71,165,0.32,52.8,0.36,59.4,0.32,52.8,44.42,-72.85,268
"Burke Mountain, VT",Vermont,3267,1267,2011,6,55,270,0.11,29.7,0.47,126.9,0.42,113.4,44.57,-71.9,290
"Cochran, VT",Vermont,1000,500,500,5,6,30,0.22,6.6,0.56,16.8,0.22,6.6,44.22016,-72.21942,121
"Jay Peak, VT",Vermont,3968,1815,2153,9,78,385,0.2,77,0.4,154,0.4,154,44.93038,-72.49569,304
"Killington, VT",Vermont,4241,1165,3050,22,140,752,0.28,210.56,0.33,248.16,0.39,293.28,44.46945,-72.43643,340
"Magic Mountain, VT",Vermont,2850,1150,1700,4,43,195,0.3,58.5,0.3,58.5,0.4,78,44.44945,-72.41643,267
"Mount Snow, VT",Vermont,3600,1900,1700,20,80,588,0.14,82.32,0.73,429.24,0.13,76.44,42.97,-72.93,266
"Okemo Mountain, VT",Vermont,3344,1144,2200,19,119,632,0.32,202.24,0.36,227.52,0.32,202.24,43.41,-72.72,309
"Pico Mountain, VT",Vermont,3967,2000,1967,7,50,214,0.2,42.8,0.48,102.72,0.32,68.48,43.86,-72.88,284
"Stowe Mountain, VT",Vermont,4395,1280,2160,13,116,485,0.16,77.6,0.59,286.15,0.25,121.25,43,-72.90422821,305
"Stratton Mountain, VT",Vermont,3875,1872,2003,11,95,625,0.41,256.25,0.33,206.25,0.26,162.5,43.10902,-72.89581,288
"Sugarbush, VT",Vermont,4083,1483,2600,16,111,578,0.2,115.6,0.45,260.1,0.35,202.3,45,-70.45381165,328
"The Homestead, VA",Virginia,3200,2500,700,5,9,45,0.34,15.3,0.33,14.85,0.33,14.85,38.66231,-78.50418,157
"Wintergreen, VA",Virginia,3515,2512,1003,7,26,129,0.23,29.67,0.35,45.15,0.42,54.18,37.89,-78.9,203
"49(degrees) North, WA",Washington,5774,3923,1851,6,68,2325,0.3,697.5,0.4,930,0.3,697.5,49,-115.84,281
"Badger Mountain, WA",Washington,3800,3000,800,3,5,20,0.33,6.6,0.34,6.8,0.33,6.6,47.59,-120.19,170
"Loup Loup, WA",Washington,5280,4040,1240,4,10,300,0.2,60,0.3,90,0.5,150,48.29,-119.71,228
"Mt. Spokane, WA",Washington,5889,4200,2000,5,45,1425,0.23,327.75,0.45,641.25,0.32,456,47.93,-117.12,286
"Ski Bluewood, WA",Washington,5670,4545,1125,3,24,430,0.27,116.1,0.43,184.9,0.3,129,47.75,-120.74,216
